Channel Id,Channel Url,Channel Title
UC2DjFE7Xf11URZqWBigcVOQ,http://www.youtube.com/channel/UC2DjFE7Xf11URZqWBigcVOQ,EEVblog
UC2GnuulpFRtTGFNuS1LKL5g,http://www.youtube.com/channel/UC2GnuulpFRtTGFNuS1LKL5g,BuzzFeedViolet
UC2MJylovjrLtsGP0_4UrqrQ,http://www.youtube.com/channel/UC2MJylovjrLtsGP0_4UrqrQ,Cody'sBLab
UC2eEGT06FrWFU6VBnPOR9lg,http://www.youtube.com/channel/UC2eEGT06FrWFU6VBnPOR9lg,Girlfriend Reviews
UC2msEzmNU3Um7KF2EnXJBFA,http://www.youtube.com/channel/UC2msEzmNU3Um7KF2EnXJBFA,GrandLineReview
UC2nMSE3t71qC8sG06WSJnMg,http://www.youtube.com/channel/UC2nMSE3t71qC8sG06WSJnMg,RageGamingVideos
UC2rzsm1Qi6N1X-wuOg_p0Ng,http://www.youtube.com/channel/UC2rzsm1Qi6N1X-wuOg_p0Ng,Project Farm
UC33X3Ct0J7sniezhzfbPdzQ,http://www.youtube.com/channel/UC33X3Ct0J7sniezhzfbPdzQ,Mike
UC3CrzXzBFVqEopj5T1jiRtA,http://www.youtube.com/channel/UC3CrzXzBFVqEopj5T1jiRtA,Peter Brown
UC3GLxshpufpt7T8ytC4E8CA,http://www.youtube.com/channel/UC3GLxshpufpt7T8ytC4E8CA,Bandoot
UC3KEoMzNz8eYnwBC34RaKCQ,http://www.youtube.com/channel/UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz
UC3LAmEliCwrdNXQIqA_NUWg,http://www.youtube.com/channel/UC3LAmEliCwrdNXQIqA_NUWg,YOTESLAYA
UC3P8f5TZu7yjvXcEcD7PHrw,http://www.youtube.com/channel/UC3P8f5TZu7yjvXcEcD7PHrw,spicyycam_
UC3TwMvHvdukyE2xqG_V7Wcg,http://www.youtube.com/channel/UC3TwMvHvdukyE2xqG_V7Wcg,Books with Heather 
UC3XgAOOUN8b7L9hjMDlSwEA,http://www.youtube.com/channel/UC3XgAOOUN8b7L9hjMDlSwEA,
UC3igMkdtWOF4p_tOkLsaGBw,http://www.youtube.com/channel/UC3igMkdtWOF4p_tOkLsaGBw,HOCgaming
UC3otv50sBsnMrFbZNwawApQ,http://www.youtube.com/channel/UC3otv50sBsnMrFbZNwawApQ,HeyImBee
UC3sznuotAs2ohg_U__Jzj_Q,http://www.youtube.com/channel/UC3sznuotAs2ohg_U__Jzj_Q,The Film Theorists
UC3xbjTJT2pVNR6b94Vaei5g,http://www.youtube.com/channel/UC3xbjTJT2pVNR6b94Vaei5g,ohnickel
UC3z5qYUmU-2Fj2y97Wrp41A,http://www.youtube.com/channel/UC3z5qYUmU-2Fj2y97Wrp41A,Polecat324
UC477Kvszl9JivqOxN1dFgPQ,http://www.youtube.com/channel/UC477Kvszl9JivqOxN1dFgPQ,Iron Pineapple
UC4IgEVgl6t18-89GPekZtAw,http://www.youtube.com/channel/UC4IgEVgl6t18-89GPekZtAw,Strawburry17Plays
UC4MGZcDG5hnzpi3hDpORkXw,http://www.youtube.com/channel/UC4MGZcDG5hnzpi3hDpORkXw,MxR 
UC4NaYVbEEflTEHxJ6VrUUuQ,http://www.youtube.com/channel/UC4NaYVbEEflTEHxJ6VrUUuQ,elle palmer
UC4PooiX37Pld1T8J5SYT-SQ,http://www.youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning
UC4TK89D1TUe18lPvjB4c4zw,http://www.youtube.com/channel/UC4TK89D1TUe18lPvjB4c4zw,Hardware Despair
UC4USoIAL9qcsx5nCZV_QRnA,http://www.youtube.com/channel/UC4USoIAL9qcsx5nCZV_QRnA,iDubbbzTV
UC4_bwov47DseacR1-ttTdOg,http://www.youtube.com/channel/UC4_bwov47DseacR1-ttTdOg,boogie2988
UC4f1zAG2BTkfOQV4_nFbpBQ,http://www.youtube.com/channel/UC4f1zAG2BTkfOQV4_nFbpBQ,TheAtlanticCraft
UC4fUM6KtykJHGDLNi-NS5uw,http://www.youtube.com/channel/UC4fUM6KtykJHGDLNi-NS5uw,cutewinfail
UC4rasfm9J-X4jNl9SvXp8xA,http://www.youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA,Ultra Records
UC4sUMe2ZhzYiNwywoh3a1kQ,http://www.youtube.com/channel/UC4sUMe2ZhzYiNwywoh3a1kQ,KingDaddyDMAC
UC4w_tMnHl6sw5VD93tVymGw,http://www.youtube.com/channel/UC4w_tMnHl6sw5VD93tVymGw,Inside Gaming
UC54SLBnD5k5U3Q6N__UjbAw,http://www.youtube.com/channel/UC54SLBnD5k5U3Q6N__UjbAw,Chinese Cooking Demystified
UC58JJqEM3EQQtbsJhBQ8eGA,http://www.youtube.com/channel/UC58JJqEM3EQQtbsJhBQ8eGA,Peach Panther
UC5C-Asy_myoWCkLEtZR72SA,http://www.youtube.com/channel/UC5C-Asy_myoWCkLEtZR72SA,Rush
UC5I2hjZYiW9gZPVkvzM8_Cw,http://www.youtube.com/channel/UC5I2hjZYiW9gZPVkvzM8_Cw,Techmoan
UC5NO8MgTQKHAWXp6z8Xl7yQ,http://www.youtube.com/channel/UC5NO8MgTQKHAWXp6z8Xl7yQ,This Old Tony
UC5SuCSt-r84nspgm_rA8k9Q,http://www.youtube.com/channel/UC5SuCSt-r84nspgm_rA8k9Q,Rusty Cage
UC5TSSoQMGnTHhX2wMCnQJnQ,http://www.youtube.com/channel/UC5TSSoQMGnTHhX2wMCnQJnQ,Bananapielord
